case_id,sample_id,image_file,source_bucket,query_type,language,expected_chart_family,query,human_visible_chart_family,human_chart_family_acceptable,human_labels_readable,human_relevant_fields_visible,human_transform_preserved,human_overall_acceptable,human_primary_error,human_confidence,human_notes,difficulty_band,yes_count,no_count,unclear_count,gpt4o_overall,qwen3_overall,qwen25_overall,minicpm_overall,granite_overall,llava_overall
calib_081,vinl2vis_27344,calib_081__vinl2vis_27344.png,primary_vlm_flagged,underspecified,vi,bar,"Xếp hạng các nước theo chỉ số net official flows from un agencies, undp (current us$).",,,,,,,,,,strong_disagreement,3,2,1,no,yes,yes,no,yes,unclear
calib_083,vinl2vis_03712,calib_083__vinl2vis_03712.png,primary_vlm_flagged,explicit,vi,bar,So sánh phát thải co2 bình quân đầu người của việt nam giữa các nước trong năm 2024.,,,,,,,,,,hard_or_bad,2,3,1,no,no,yes,no,yes,unclear
calib_084,vinl2vis_04056,calib_084__vinl2vis_04056.png,primary_vlm_flagged,explicit,en,tick_plot,Create a tick plot for Tuổi thọ kỳ vọng in 2023.,,,,,,,,,,boundary,3,2,1,no,no,yes,yes,yes,unclear
calib_085,vinl2vis_04144,calib_085__vinl2vis_04144.png,primary_vlm_flagged,explicit,en,heatmap,Create a heatmap of Tỷ lệ thất nghiệp by country and year.,,,,,,,,,,strong_disagreement,4,2,0,yes,no,yes,yes,yes,no
calib_086,vinl2vis_00766,calib_086__vinl2vis_00766.png,primary_vlm_flagged,explicit,en,tick_plot,Create a tick plot for asean exports share of gdp in 2024.,,,,,,,,,,strong_disagreement,4,2,0,yes,no,yes,yes,yes,no
calib_087,vinl2vis_24504,calib_087__vinl2vis_24504.png,primary_vlm_flagged,underspecified,vi,bar,"Xếp hạng các nước theo chỉ số personal remittances, received (current us$).",,,,,,,,,,strong_disagreement,3,2,1,no,yes,yes,no,yes,unclear
calib_088,vinl2vis_22704,calib_088__vinl2vis_22704.png,primary_vlm_flagged,underspecified,vi,bar,"Xếp hạng các nước theo chỉ số communications, computer, etc. (% of service imports, bop).",,,,,,,,,,strong_disagreement,4,1,1,no,yes,yes,yes,yes,unclear
calib_089,vinl2vis_01764,calib_089__vinl2vis_01764.png,primary_vlm_flagged,explicit,en,bar,Rank countries by asean education expenditure share of gdp in the latest year.,,,,,,,,,,strong_disagreement,4,1,1,no,yes,yes,yes,yes,unclear
calib_090,vinl2vis_01762,calib_090__vinl2vis_01762.png,primary_vlm_flagged,explicit,en,bar,Compare countries by asean education expenditure share of gdp in 2025.,,,,,,,,,,hard_or_bad,2,3,1,no,no,yes,no,yes,unclear
calib_091,vinl2vis_23904,calib_091__vinl2vis_23904.png,primary_vlm_flagged,underspecified,vi,bar,"Xếp hạng các nước theo chỉ số communications, computer, etc. (% of service exports, bop).",,,,,,,,,,strong_disagreement,4,1,1,no,yes,yes,yes,yes,unclear
calib_092,vinl2vis_22824,calib_092__vinl2vis_22824.png,primary_vlm_flagged,underspecified,vi,bar,"Xếp hạng các nước theo chỉ số insurance and financial services (% of service imports, bop).",,,,,,,,,,boundary,3,2,1,no,no,yes,yes,yes,unclear
calib_093,vinl2vis_01466,calib_093__vinl2vis_01466.png,primary_vlm_flagged,explicit,en,tick_plot,Create a tick plot for asean health expenditure share of gdp in 2023.,,,,,,,,,,strong_disagreement,4,2,0,yes,no,yes,yes,yes,no
calib_094,vinl2vis_23944,calib_094__vinl2vis_23944.png,primary_vlm_flagged,underspecified,vi,bar,"Xếp hạng các nước theo chỉ số primary income receipts (bop, current us$).",,,,,,,,,,strong_disagreement,4,1,1,no,yes,yes,yes,yes,unclear
calib_095,vinl2vis_23104,calib_095__vinl2vis_23104.png,primary_vlm_flagged,underspecified,vi,bar,"Xếp hạng các nước theo chỉ số foreign direct investment, net outflows (bop, current us$).",,,,,,,,,,strong_disagreement,3,2,1,no,yes,yes,no,yes,unclear
calib_097,vinl2vis_24104,calib_097__vinl2vis_24104.png,primary_vlm_flagged,underspecified,vi,bar,"Xếp hạng các nước theo chỉ số service exports (bop, current us$).",,,,,,,,,,strong_disagreement,4,2,0,no,yes,yes,yes,yes,no
calib_098,vinl2vis_03426,calib_098__vinl2vis_03426.png,primary_vlm_flagged,explicit,en,tick_plot,Create a tick plot for asean domestic credit to private sector in 2024.,,,,,,,,,,strong_disagreement,4,2,0,yes,no,yes,yes,yes,no
