comparison,overall_n,overall_kappa,overall_agreement_pct,chart_family_n,chart_family_kappa,chart_family_agreement_pct,labels_n,labels_kappa,labels_agreement_pct,fields_n,fields_kappa,fields_agreement_pct,transform_n,transform_kappa,transform_agreement_pct
Expert 1 vs Expert 2,240,0.5257245874358618,76.25,240,0.1947509692812406,62.5,240,0.1651376146788992,62.083333333333336,240,0.19305413687436154,67.08333333333333,240,0.04822335025380703,79.16666666666666
Expert 1 vs Expert 3,240,0.4750000000000001,73.75,240,0.18319029298609057,61.66666666666667,240,0.16071428571428562,60.83333333333333,240,0.07416625186660047,61.25000000000001,240,-0.07795371498173014,75.41666666666667
Expert 1 vs Expert 4,240,0.45583926329007945,72.91666666666666,240,0.31504818383988153,67.91666666666667,240,0.1186943620178042,58.75,240,0.06233900051519822,62.083333333333336,240,0.016393442622951504,76.66666666666667
Expert 1 vs Expert 5,240,0.48854108440469535,74.58333333333333,240,0.25421722403077834,65.0,240,0.2431610942249241,65.41666666666667,240,0.22025316455696195,67.91666666666667,240,0.08010012515644556,79.58333333333333
Expert 2 vs Expert 3,240,0.4833333333333334,74.16666666666667,240,0.21269453768690885,64.16666666666667,240,0.10934744268077619,57.91666666666667,240,0.18054630246502332,65.83333333333333,240,0.014810045074049968,78.75
Expert 2 vs Expert 4,240,0.5337218984179852,76.66666666666667,240,0.2563121652639632,66.25,240,0.1730811524081811,60.83333333333333,240,0.04761904761904788,61.66666666666667,240,-0.14673242909987647,74.16666666666667
Expert 2 vs Expert 5,240,0.5504994450610433,77.5,240,0.26762282575526386,66.66666666666666,240,0.21058533303431257,63.33333333333333,240,0.12542372881355918,64.16666666666667,240,0.02455209024552102,79.58333333333333
Expert 3 vs Expert 4,240,0.5,75.0,240,0.20968962906888708,63.74999999999999,240,0.24610051993067583,63.74999999999999,240,-0.007049345417925508,58.333333333333336,240,-0.013934183219685543,76.25
Expert 3 vs Expert 5,240,0.5166666666666666,75.83333333333333,240,0.32950770160072473,69.16666666666667,240,0.2706502636203866,65.41666666666667,240,0.1272727272727271,63.33333333333333,240,-0.0664973813680371,76.66666666666667
Expert 4 vs Expert 5,240,0.5484949832775919,77.5,240,0.30052990158970483,67.91666666666667,240,0.19339519251844825,61.66666666666667,240,0.05641025641025648,61.66666666666667,240,0.10556738667477938,79.58333333333333
