case_id,sample_id,image_file,source_bucket,query_type,language,expected_chart_family,query,human_visible_chart_family,human_chart_family_acceptable,human_labels_readable,human_relevant_fields_visible,human_transform_preserved,human_overall_acceptable,human_primary_error,human_confidence,human_notes
calib_001,vinl2vis_30351,calib_001__vinl2vis_30351.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,yes,yes,yes,yes,yes,none,high,"The bar chart correctly compares countries using a 'value' for the latest year, as requested."
calib_002,vinl2vis_29110,calib_002__vinl2vis_29110.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",line,yes,yes,yes,yes,yes,none,high,"The line chart effectively shows trends over time, separated by country, with all labels being readable."
calib_003,vinl2vis_05436,calib_003__vinl2vis_05436.png,vlm_consensus_accepted,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số livestock production index (2014-2016 = 100) mẫu 15.,line,yes,yes,yes,not_applicable,yes,none,high,"The chart correctly displays the livestock production index over time for multiple countries, matching the query's request for a line chart."
calib_004,vinl2vis_29510,calib_004__vinl2vis_29510.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",line,yes,yes,yes,yes,yes,none,high,"The chart correctly displays trends over time, separated by country, using a line chart as requested."
calib_005,vinl2vis_23602,calib_005__vinl2vis_23602.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số portfolio investment, net (bop, current us$) ở các quốc gia, biến thể 21.",bar,yes,no,yes,not_applicable,no,unreadable,high,"The x-axis labels for countries are unreadable due to severe overlap, preventing effective comparison."
calib_006,vinl2vis_25082,calib_006__vinl2vis_25082.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số net bilateral aid flows from dac donors, switzerland (current us$) ở các quốc gia, biến thể 21.",bar,yes,yes,yes,not_applicable,yes,none,high,"The bar chart effectively compares aid flows across countries as requested, with readable labels and relevant fields."
calib_007,vinl2vis_26311,calib_007__vinl2vis_26311.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,yes,yes,yes,yes,yes,none,high,"The bar chart correctly compares countries using a value for the latest year, as requested."
calib_008,vinl2vis_30310,calib_008__vinl2vis_30310.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",line,yes,yes,yes,yes,yes,none,high,"The chart correctly displays trends over time, separated by country, using a line chart."
calib_009,vinl2vis_28750,calib_009__vinl2vis_28750.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",line,yes,yes,yes,not_applicable,yes,none,high,"The line chart effectively shows trends over time, separated by country, with all labels being readable."
calib_010,vinl2vis_28871,calib_010__vinl2vis_28871.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,yes,yes,yes,yes,yes,none,high,The chart correctly uses a bar chart to compare countries for the latest year.
calib_011,vinl2vis_05196,calib_011__vinl2vis_05196.png,vlm_consensus_accepted,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số forest area (% of land area) mẫu 15.,line,yes,yes,no,not_applicable,no,wrong_fields,high,"The chart displays 10 countries, but the query specifies 'mẫu 15' (sample 15), implying 15 entities."
calib_012,vinl2vis_23557,calib_012__vinl2vis_23557.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số foreign direct investment, net (bop, current us$) ở các quốc gia, biến thể 16.",bar,yes,yes,yes,not_applicable,yes,none,high,"The chart correctly displays the requested data as a bar chart, comparing FDI across countries."
calib_013,vinl2vis_05396,calib_013__vinl2vis_05396.png,vlm_consensus_accepted,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số food production index (2014-2016 = 100) mẫu 15.,line,yes,yes,yes,not_applicable,yes,none,high,The chart correctly displays the food production index over time for multiple countries using a line chart.
calib_014,vinl2vis_29596,calib_014__vinl2vis_29596.png,vlm_consensus_accepted,ambiguous,vi,line,"Tạo biểu đồ phù hợp cho chỉ số external debt stocks, total (dod, current us$) mẫu 15.",line,yes,yes,yes,not_applicable,yes,none,high,The chart correctly displays the requested metric over time for multiple countries using a line chart.
calib_015,vinl2vis_27110,calib_015__vinl2vis_27110.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",line,yes,yes,yes,not_applicable,yes,none,high,"The line chart effectively shows trends over time, separated by country, with all labels readable."
calib_016,vinl2vis_24482,calib_016__vinl2vis_24482.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số personal transfers, receipts (bop, current us$) ở các quốc gia, biến thể 21.",bar,no,yes,yes,no,no,wrong_chart_type,high,"The chart uses a single stacked bar, which makes it difficult to compare the requested index across different countries."
calib_017,vinl2vis_26951,calib_017__vinl2vis_26951.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,yes,yes,yes,yes,yes,none,high,"The chart correctly uses a bar chart to compare countries for the latest year, and all labels are readable."
calib_018,vinl2vis_26711,calib_018__vinl2vis_26711.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,yes,yes,yes,yes,yes,none,high,"The bar chart correctly compares countries using a 'value' for the latest year, as requested."
calib_019,vinl2vis_24117,calib_019__vinl2vis_24117.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số service exports (bop, current us$) ở các quốc gia, biến thể 16.",bar,yes,yes,yes,not_applicable,yes,none,high,The bar chart effectively compares service exports across countries with readable labels and the correct chart type.
calib_020,vinl2vis_05317,calib_020__vinl2vis_05317.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số cereal production (metric tons) ở các quốc gia, biến thể 16.",bar,yes,yes,yes,not_applicable,yes,none,high,The bar chart effectively compares cereal production across different countries as requested.
calib_022,vinl2vis_32864,calib_022__vinl2vis_32864.png,vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số level of water stress: freshwater withdrawal as a proportion of available freshwater resources.,bar,yes,no,yes,yes,no,unreadable,high,"The country labels on the x-axis are unreadable due to overplotting, making it impossible to identify the ranked countries."
calib_023,vinl2vis_29511,calib_023__vinl2vis_29511.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,yes,yes,yes,yes,yes,none,high,"The chart correctly uses a bar chart to compare countries for the latest year, as requested."
calib_024,vinl2vis_32784,calib_024__vinl2vis_32784.png,vlm_consensus_accepted,underspecified,vi,bar,"Xếp hạng các nước theo chỉ số annual freshwater withdrawals, domestic (% of total freshwater withdrawal).",bar,yes,no,yes,no,no,unreadable,high,"The country labels on the x-axis are unreadable due to severe overlap, preventing any ranking or identification of countries."
calib_025,vinl2vis_28791,calib_025__vinl2vis_28791.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,yes,yes,yes,yes,yes,none,high,The chart correctly uses a bar chart to compare countries and states that it uses the latest year.
calib_026,vinl2vis_05116,calib_026__vinl2vis_05116.png,vlm_consensus_accepted,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số tree cover loss (hectares) mẫu 15.,line,yes,yes,yes,not_applicable,yes,none,high,The line chart correctly visualizes tree cover loss over time for different countries as requested.
calib_027,vinl2vis_29070,calib_027__vinl2vis_29070.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",line,yes,yes,yes,yes,yes,none,high,"The chart correctly displays trends over time, separated by country, using a line chart."
calib_021,vinl2vis_27191,calib_021__vinl2vis_27191.png,vlm_consensus_accepted,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",bar,yes,yes,yes,yes,yes,none,high,"The chart correctly uses a bar chart to compare countries for the latest year, with all labels readable."
calib_028,vinl2vis_30664,calib_028__vinl2vis_30664.png,vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số carbon dioxide (co2) emissions from fugitive emissions (energy) (mt co2e).,bar,yes,yes,yes,yes,yes,none,high,The bar chart correctly ranks countries by CO2 emissions as requested by the query.
calib_029,vinl2vis_31664,calib_029__vinl2vis_31664.png,vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số nitrous oxide (n2o) emissions from waste (mt co2e).,bar,yes,no,yes,yes,no,unreadable,high,"The x-axis labels for countries are unreadable due to overlapping, making it difficult to identify specific countries and their ranks."
calib_030,vinl2vis_32584,calib_030__vinl2vis_32584.png,vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số aquaculture production (metric tons).,bar,yes,yes,yes,yes,yes,none,high,"The bar chart correctly ranks countries by aquaculture production, with all labels readable."
calib_031,vinl2vis_25922,calib_031__vinl2vis_25922.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số external debt stocks (% of gni) ở các quốc gia, biến thể 21.",bar,yes,yes,yes,not_applicable,yes,none,high,The bar chart effectively compares the external debt stocks across the specified countries.
calib_032,vinl2vis_05201,calib_032__vinl2vis_05201.png,vlm_consensus_accepted,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số forest area (% of land area) mẫu 20.,line,yes,yes,yes,not_applicable,yes,none,high,"The chart correctly displays forest area over time for multiple countries using a line chart, matching the query's intent."
calib_033,vinl2vis_26910,calib_033__vinl2vis_26910.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",line,yes,yes,yes,yes,yes,none,high,"The chart correctly displays trends over time, separated by country, using a line chart."
calib_034,vinl2vis_30464,calib_034__vinl2vis_30464.png,vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số methane (ch4) emissions from transport (energy) (mt co2e).,bar,yes,no,yes,yes,no,unreadable,high,"The x-axis labels for countries are unreadable due to severe overlap, preventing verification of the ranking."
calib_035,vinl2vis_31984,calib_035__vinl2vis_31984.png,vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số population in urban agglomerations of more than 1 million.,bar,yes,no,yes,no,no,unreadable,high,"The x-axis labels for countries are unreadable due to overlap and rotation, preventing verification of the ranking."
calib_036,vinl2vis_25201,calib_036__vinl2vis_25201.png,vlm_consensus_accepted,ambiguous,vi,line,"Tạo biểu đồ phù hợp cho chỉ số net bilateral aid flows from dac donors, denmark (current us$) mẫu 20.",empty_or_broken,no,yes,no,unclear,no,empty_or_broken,high,"The chart is empty and displays no data, making it unusable."
calib_037,vinl2vis_33584,calib_037__vinl2vis_33584.png,vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số total reserves in months of imports.,bar,yes,yes,yes,yes,yes,none,high,"The bar chart correctly ranks countries by the specified indicator, with readable labels and a clear legend."
calib_038,vinl2vis_05197,calib_038__vinl2vis_05197.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số forest area (% of land area) ở các quốc gia, biến thể 16.",bar,yes,yes,yes,yes,yes,none,high,"The bar chart correctly compares forest area across countries, with readable labels and a helpful sorting transformation."
calib_039,vinl2vis_23436,calib_039__vinl2vis_23436.png,vlm_consensus_accepted,ambiguous,vi,line,"Tạo biểu đồ phù hợp cho chỉ số net trade in goods and services (bop, current us$) mẫu 15.",line,yes,yes,no,no,no,missing_transform,medium,"The chart displays data for 10 countries, but the query specifies 'mẫu 15', implying 15 items."
