case_id,sample_id,case_family,evidence_strength,run_key,model,acceptable,chart_family_matches,labels_match_query,readable,visible_chart_family,major_issue,conservative_issue
stress230_083,vinl2vis_04984,strict_transform_failure,deterministic_semantic_failure,balanced_final,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_097,vinl2vis_27704,strict_transform_failure,deterministic_semantic_failure,balanced_final,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_099,vinl2vis_23744,strict_transform_failure,deterministic_semantic_failure,balanced_final,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_102,vinl2vis_28864,strict_transform_failure,deterministic_semantic_failure,balanced_final,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_104,vinl2vis_24183,strict_transform_failure,deterministic_semantic_failure,balanced_final,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_106,vinl2vis_29864,strict_transform_failure,deterministic_semantic_failure,balanced_final,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_107,vinl2vis_24824,strict_transform_failure,deterministic_semantic_failure,balanced_final,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_108,vinl2vis_23743,strict_transform_failure,deterministic_semantic_failure,balanced_final,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_114,vinl2vis_25023,strict_transform_failure,deterministic_semantic_failure,balanced_final,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_120,vinl2vis_26384,strict_transform_failure,deterministic_semantic_failure,balanced_final,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_126,vinl2vis_26184,strict_transform_failure,deterministic_semantic_failure,balanced_final,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_136,vinl2vis_23464,strict_transform_failure,deterministic_semantic_failure,balanced_final,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_142,vinl2vis_05504,strict_transform_failure,deterministic_semantic_failure,balanced_final,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_149,vinl2vis_22584,primary_vlm_flagged,primary_vlm_visual_flag,balanced_final,qwen3-vl:4b,False,False,True,True,area,wrong_chart_type,wrong_chart_type
stress230_152,vinl2vis_27144,primary_vlm_flagged,primary_vlm_visual_flag,balanced_final,qwen3-vl:4b,False,False,True,True,area,wrong_chart_type,wrong_chart_type
stress230_161,vinl2vis_23904,primary_vlm_flagged,primary_vlm_visual_flag,balanced_final,qwen3-vl:4b,False,False,True,True,area,wrong_chart_type,wrong_chart_type
stress230_162,vinl2vis_24104,primary_vlm_flagged,primary_vlm_visual_flag,balanced_final,qwen3-vl:4b,False,False,True,True,area,wrong_chart_type,wrong_chart_type
stress230_167,vinl2vis_22864,primary_vlm_flagged,primary_vlm_visual_flag,balanced_final,qwen3-vl:4b,False,False,True,True,area,wrong_chart_type,wrong_chart_type
stress230_168,vinl2vis_22824,primary_vlm_flagged,primary_vlm_visual_flag,balanced_final,qwen3-vl:4b,False,False,True,True,area,wrong_chart_type,wrong_chart_type
stress230_176,vinl2vis_24504,primary_vlm_flagged,primary_vlm_visual_flag,balanced_final,qwen3-vl:4b,False,False,True,True,area,wrong_chart_type,wrong_chart_type
stress230_180,vinl2vis_28904,primary_vlm_flagged,primary_vlm_visual_flag,balanced_final,qwen3-vl:4b,False,False,True,True,area,wrong_chart_type,wrong_chart_type
stress230_183,vinl2vis_23544,primary_vlm_flagged,primary_vlm_visual_flag,balanced_final,qwen3-vl:4b,False,False,True,True,area,wrong_chart_type,wrong_chart_type
stress230_185,vinl2vis_27344,primary_vlm_flagged,primary_vlm_visual_flag,balanced_final,qwen3-vl:4b,False,False,True,True,area,wrong_chart_type,wrong_chart_type
stress230_190,vinl2vis_22587,primary_vlm_flagged,primary_vlm_visual_flag,balanced_final,qwen3-vl:4b,False,True,True,True,line,wrong_fields,wrong_fields
stress230_191,vinl2vis_28384,primary_vlm_flagged,primary_vlm_visual_flag,balanced_final,qwen3-vl:4b,False,False,True,True,area,wrong_chart_type,wrong_chart_type
stress230_195,vinl2vis_26504,primary_vlm_flagged,primary_vlm_visual_flag,balanced_final,qwen3-vl:4b,False,False,True,True,area,wrong_chart_type,wrong_chart_type
stress230_196,vinl2vis_25824,primary_vlm_flagged,primary_vlm_visual_flag,balanced_final,qwen3-vl:4b,False,False,True,True,area,wrong_chart_type,wrong_chart_type
stress230_201,vinl2vis_05424,primary_vlm_flagged,primary_vlm_visual_flag,balanced_final,qwen3-vl:4b,False,False,True,True,area,wrong_chart_type,wrong_chart_type
stress230_205,vinl2vis_27584,primary_vlm_flagged,primary_vlm_visual_flag,balanced_final,qwen3-vl:4b,False,False,True,True,area,wrong_chart_type,wrong_chart_type
stress230_021,vinl2vis_23307,major_visual_sanity_failure,programmatic_visual_failure,balanced_residualfix,qwen3-vl:4b,True,True,True,True,line,none,none
stress230_022,vinl2vis_22747,major_visual_sanity_failure,programmatic_visual_failure,balanced_residualfix,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_024,vinl2vis_24146,major_visual_sanity_failure,programmatic_visual_failure,balanced_residualfix,qwen3-vl:4b,False,False,True,True,bar,wrong_chart_type,wrong_chart_type
stress230_036,vinl2vis_23661,major_visual_sanity_failure,programmatic_visual_failure,balanced_residualfix,qwen3-vl:4b,True,True,True,True,line,none,none
stress230_039,vinl2vis_24707,major_visual_sanity_failure,programmatic_visual_failure,balanced_residualfix,qwen3-vl:4b,True,True,True,True,line,none,none
stress230_041,vinl2vis_25067,major_visual_sanity_failure,programmatic_visual_failure,balanced_residualfix,qwen3-vl:4b,True,True,True,True,line,none,none
stress230_047,vinl2vis_23461,major_visual_sanity_failure,programmatic_visual_failure,balanced_residualfix,qwen3-vl:4b,True,True,True,True,line,none,none
stress230_050,vinl2vis_23266,major_visual_sanity_failure,programmatic_visual_failure,balanced_residualfix,qwen3-vl:4b,False,False,True,True,bar,wrong_chart_type,wrong_chart_type
stress230_055,vinl2vis_05226,major_visual_sanity_failure,programmatic_visual_failure,balanced_residualfix,qwen3-vl:4b,True,False,True,True,bar,wrong_chart_type,none
stress230_057,vinl2vis_23741,major_visual_sanity_failure,programmatic_visual_failure,balanced_residualfix,qwen3-vl:4b,True,True,True,True,line,none,none
stress230_059,vinl2vis_24227,major_visual_sanity_failure,programmatic_visual_failure,balanced_residualfix,qwen3-vl:4b,True,True,True,True,line,none,none
stress230_060,vinl2vis_25267,major_visual_sanity_failure,programmatic_visual_failure,balanced_residualfix,qwen3-vl:4b,True,True,True,True,line,none,none
stress230_064,vinl2vis_23667,major_visual_sanity_failure,programmatic_visual_failure,balanced_residualfix,qwen3-vl:4b,True,True,True,True,line,none,none
stress230_065,vinl2vis_23107,major_visual_sanity_failure,programmatic_visual_failure,balanced_residualfix,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_066,vinl2vis_25221,major_visual_sanity_failure,programmatic_visual_failure,balanced_residualfix,qwen3-vl:4b,True,True,True,True,line,none,none
stress230_067,vinl2vis_23187,major_visual_sanity_failure,programmatic_visual_failure,balanced_residualfix,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_080,vinl2vis_01886,strict_transform_failure,deterministic_semantic_failure,english_final,qwen3-vl:4b,True,True,True,True,tick_plot,none,none
stress230_081,vinl2vis_03302,strict_transform_failure,deterministic_semantic_failure,english_final,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_082,vinl2vis_03512,strict_transform_failure,deterministic_semantic_failure,english_final,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_091,vinl2vis_01972,strict_transform_failure,deterministic_semantic_failure,english_final,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_129,vinl2vis_00712,strict_transform_failure,deterministic_semantic_failure,english_final,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_133,vinl2vis_00362,strict_transform_failure,deterministic_semantic_failure,english_final,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_138,vinl2vis_01272,strict_transform_failure,deterministic_semantic_failure,english_final,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_146,vinl2vis_01606,strict_transform_failure,deterministic_semantic_failure,english_final,qwen3-vl:4b,True,True,True,True,tick_plot,none,none
stress230_153,vinl2vis_03006,primary_vlm_flagged,primary_vlm_visual_flag,english_final,qwen3-vl:4b,False,False,True,True,area,wrong_chart_type,wrong_chart_type
stress230_155,vinl2vis_00556,primary_vlm_flagged,primary_vlm_visual_flag,english_final,qwen3-vl:4b,False,False,True,True,boxplot,wrong_chart_type,wrong_chart_type
stress230_156,vinl2vis_03654,primary_vlm_flagged,primary_vlm_visual_flag,english_final,qwen3-vl:4b,False,False,True,True,area,wrong_chart_type,wrong_chart_type
stress230_157,vinl2vis_04076,primary_vlm_flagged,primary_vlm_visual_flag,english_final,qwen3-vl:4b,False,False,True,True,area,wrong_chart_type,wrong_chart_type
stress230_160,vinl2vis_04125,primary_vlm_flagged,primary_vlm_visual_flag,english_final,qwen3-vl:4b,False,True,False,False,bubble_chart,wrong_fields,wrong_fields
stress230_163,vinl2vis_03356,primary_vlm_flagged,primary_vlm_visual_flag,english_final,qwen3-vl:4b,False,False,True,True,line,wrong_chart_type,wrong_chart_type
stress230_164,vinl2vis_02866,primary_vlm_flagged,primary_vlm_visual_flag,english_final,qwen3-vl:4b,False,False,True,True,line,wrong_chart_type,wrong_chart_type
stress230_165,vinl2vis_01694,primary_vlm_flagged,primary_vlm_visual_flag,english_final,qwen3-vl:4b,False,False,True,True,area,wrong_chart_type,wrong_chart_type
stress230_166,vinl2vis_04056,primary_vlm_flagged,primary_vlm_visual_flag,english_final,qwen3-vl:4b,False,False,True,True,line,wrong_chart_type,wrong_chart_type
stress230_169,vinl2vis_03146,primary_vlm_flagged,primary_vlm_visual_flag,english_final,qwen3-vl:4b,False,False,True,True,line,wrong_chart_type,wrong_chart_type
stress230_171,vinl2vis_02324,primary_vlm_flagged,primary_vlm_visual_flag,english_final,qwen3-vl:4b,False,False,True,True,area,wrong_chart_type,wrong_chart_type
stress230_172,vinl2vis_00626,primary_vlm_flagged,primary_vlm_visual_flag,english_final,qwen3-vl:4b,False,False,True,True,boxplot,wrong_chart_type,wrong_chart_type
stress230_173,vinl2vis_03724,primary_vlm_flagged,primary_vlm_visual_flag,english_final,qwen3-vl:4b,False,False,True,True,area,wrong_chart_type,wrong_chart_type
stress230_174,vinl2vis_00696,primary_vlm_flagged,primary_vlm_visual_flag,english_final,qwen3-vl:4b,False,False,True,True,boxplot,wrong_chart_type,wrong_chart_type
stress230_178,vinl2vis_00346,primary_vlm_flagged,primary_vlm_visual_flag,english_final,qwen3-vl:4b,False,False,True,True,boxplot,wrong_chart_type,wrong_chart_type
stress230_179,vinl2vis_01834,primary_vlm_flagged,primary_vlm_visual_flag,english_final,qwen3-vl:4b,False,False,True,True,area,wrong_chart_type,wrong_chart_type
stress230_181,vinl2vis_03076,primary_vlm_flagged,primary_vlm_visual_flag,english_final,qwen3-vl:4b,False,False,True,True,area,wrong_chart_type,wrong_chart_type
stress230_184,vinl2vis_01466,primary_vlm_flagged,primary_vlm_visual_flag,english_final,qwen3-vl:4b,False,False,True,True,boxplot,wrong_chart_type,wrong_chart_type
stress230_186,vinl2vis_03722,primary_vlm_flagged,primary_vlm_visual_flag,english_final,qwen3-vl:4b,False,False,True,True,area,wrong_chart_type,wrong_chart_type
stress230_188,vinl2vis_01676,primary_vlm_flagged,primary_vlm_visual_flag,english_final,qwen3-vl:4b,False,False,True,True,line,wrong_chart_type,wrong_chart_type
stress230_189,vinl2vis_02586,primary_vlm_flagged,primary_vlm_visual_flag,english_final,qwen3-vl:4b,False,False,True,True,boxplot,wrong_chart_type,wrong_chart_type
stress230_194,vinl2vis_00276,primary_vlm_flagged,primary_vlm_visual_flag,english_final,qwen3-vl:4b,False,False,True,True,boxplot,wrong_chart_type,wrong_chart_type
stress230_197,vinl2vis_00136,primary_vlm_flagged,primary_vlm_visual_flag,english_final,qwen3-vl:4b,False,False,True,True,boxplot,wrong_chart_type,wrong_chart_type
stress230_199,vinl2vis_01764,primary_vlm_flagged,primary_vlm_visual_flag,english_final,qwen3-vl:4b,False,False,True,True,area,wrong_chart_type,wrong_chart_type
stress230_200,vinl2vis_01326,primary_vlm_flagged,primary_vlm_visual_flag,english_final,qwen3-vl:4b,False,False,True,True,boxplot,wrong_chart_type,wrong_chart_type
stress230_202,vinl2vis_00766,primary_vlm_flagged,primary_vlm_visual_flag,english_final,qwen3-vl:4b,False,False,True,True,area,wrong_chart_type,wrong_chart_type
stress230_203,vinl2vis_01746,primary_vlm_flagged,primary_vlm_visual_flag,english_final,qwen3-vl:4b,False,False,True,True,line,wrong_chart_type,wrong_chart_type
stress230_204,vinl2vis_03216,primary_vlm_flagged,primary_vlm_visual_flag,english_final,qwen3-vl:4b,False,False,True,True,boxplot,wrong_chart_type,wrong_chart_type
stress230_009,vinl2vis_04833,major_visual_sanity_failure,programmatic_visual_failure,english_residualfix,qwen3-vl:4b,False,False,True,True,bar,wrong_chart_type,wrong_chart_type
stress230_010,vinl2vis_04798,major_visual_sanity_failure,programmatic_visual_failure,english_residualfix,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_011,vinl2vis_03931,major_visual_sanity_failure,programmatic_visual_failure,english_residualfix,qwen3-vl:4b,True,True,True,True,line,none,none
stress230_012,vinl2vis_06493,major_visual_sanity_failure,programmatic_visual_failure,english_residualfix,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_014,vinl2vis_05968,major_visual_sanity_failure,programmatic_visual_failure,english_residualfix,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_015,vinl2vis_05113,major_visual_sanity_failure,programmatic_visual_failure,english_residualfix,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_016,vinl2vis_05918,major_visual_sanity_failure,programmatic_visual_failure,english_residualfix,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_017,vinl2vis_04843,major_visual_sanity_failure,programmatic_visual_failure,english_residualfix,qwen3-vl:4b,False,False,True,True,bar,wrong_chart_type,wrong_chart_type
stress230_018,vinl2vis_04893,major_visual_sanity_failure,programmatic_visual_failure,english_residualfix,qwen3-vl:4b,False,False,True,True,bar,wrong_chart_type,wrong_chart_type
stress230_019,vinl2vis_06083,major_visual_sanity_failure,programmatic_visual_failure,english_residualfix,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_023,vinl2vis_04813,major_visual_sanity_failure,programmatic_visual_failure,english_residualfix,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_025,vinl2vis_06598,major_visual_sanity_failure,programmatic_visual_failure,english_residualfix,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_026,vinl2vis_05078,major_visual_sanity_failure,programmatic_visual_failure,english_residualfix,qwen3-vl:4b,False,False,True,True,bar,wrong_chart_type,wrong_chart_type
stress230_027,vinl2vis_06803,major_visual_sanity_failure,programmatic_visual_failure,english_residualfix,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_028,vinl2vis_05998,major_visual_sanity_failure,programmatic_visual_failure,english_residualfix,qwen3-vl:4b,False,False,True,True,area,wrong_chart_type,wrong_chart_type
stress230_029,vinl2vis_06368,major_visual_sanity_failure,programmatic_visual_failure,english_residualfix,qwen3-vl:4b,True,True,True,True,bar,none,none
stress230_030,vinl2vis_05102,major_visual_sanity_failure,programmatic_visual_failure,english_residualfix,qwen3-vl:4b,False,False,True,True,bar,wrong_chart_type,wrong_chart_type
